Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
,♯11,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
,D,acorde_NADA,acorde_NADA,,,0em,,,
,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
,13,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
,A,acorde_NADA,acorde_NADA,,,0em,,,
,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,11,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
